S_Label,S_Code,S_CUI,S_Depth,Pre_Label,Pre-Code,Pre_CUI,Pre_Depth,Post_Label,Post_Code,Post_CUI,Post_Depth
Other excision or destruction of brain and meninges,01.5,C0176022,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Excision of lesion or tissue of cerebral meninges,01.51,C0176023,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Hemispherectomy,01.52,C0175763,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Lobectomy of brain,01.53,C0195961,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other excision or destruction of lesion or tissue of brain,01.59,C0176024,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Excision of lesion of skull,01.6,C0195899,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Primary tuberculous infection,010,C0152545,4,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Primary tuberculous infection,010.0,C0152545,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified",010.00,C1812612,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, bacteriological or histological examination not done",010.01,C0374939,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",010.02,C0374940,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",010.03,C0374941,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010.04,C0374942,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010.05,C0374943,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010.06,C0374944,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous pleurisy in primary progressive tuberculosis,010.1,C0152531,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",010.10,C0374945,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",010.11,C0152532,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",010.12,C0152533,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",010.13,C0152534,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010.14,C0152535,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010.15,C0152536,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010.16,C0152537,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Other primary progressive tuberculosis,010.8,C0152538,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, unspecified",010.80,C0374946,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, bacteriological or histological examination not done",010.81,C0152539,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",010.82,C0152540,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",010.83,C0152541,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010.84,C0152542,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010.85,C0152543,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010.86,C0152544,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified type",010.9,C1812610,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, unspecified",010.90,C1812611,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",010.91,C0152546,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",010.92,C0152547,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",010.93,C0152548,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",010.94,C0152549,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",010.95,C0152550,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",010.96,C0152551,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
TUBERCULOSIS,010-018.99,C0041296,3,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Pulmonary tuberculosis,011,C0041327,4,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative",011.0,C0152552,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, unspecified",011.00,C0152552,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",011.01,C0152553,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",011.02,C0152554,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",011.03,C0152555,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.04,C0152556,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.05,C0152557,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.06,C0152558,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular",011.1,C0152559,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, unspecified",011.10,C0152559,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, bacteriological or histological examination not done",011.11,C0152560,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",011.12,C0152561,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",011.13,C0152562,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.14,C0152563,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.15,C0152564,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.16,C0152565,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculosis of lung with cavitation,011.2,C0152566,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, unspecified",011.20,C0152566,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",011.21,C0152567,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",011.22,C0152568,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",011.23,C0152569,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.24,C0152570,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.25,C0152571,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.26,C0152572,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculosis of bronchus,011.3,C0152573,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, unspecified",011.30,C0152573,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, bacteriological or histological examination not done",011.31,C0152574,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",011.32,C0152575,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",011.33,C0152576,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",011.34,C0152577,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.35,C0152578,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.36,C0152579,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous fibrosis of lung,011.4,C0041336,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, unspecified",011.40,C0041336,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, bacteriological or histological examination not done",011.41,C0152580,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",011.42,C0152581,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",011.43,C0152582,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.44,C0152583,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.45,C0152584,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.46,C0152585,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous bronchiectasis,011.5,C0152586,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, unspecified",011.50,C0152586,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, bacteriological or histological examination not done",011.51,C0152587,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",011.52,C0152588,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",011.53,C0152589,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.54,C0152590,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.55,C0152591,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.56,C0152592,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous pneumonia [any form],011.6,C0275891,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], unspecified",011.60,C0374952,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], bacteriological or histological examination not done",011.61,C0152594,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",011.62,C0152595,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",011.63,C0152596,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",011.64,C0152597,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",011.65,C0152598,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",011.66,C0152599,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
Tuberculous pneumothorax,011.7,C0152600,5,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
"Tuberculous pneumothorax, unspecified",011.70,C0152600,6,TUBERCULOSIS,010-018.99,C0041296,3,Tuberculosis,D014376,C0041296,9
